Band_Index,Combined_Importance,Undefined_Importance,Water_Importance,Non-Water_Importance,Raw_SHAP_Undefined,Raw_SHAP_Water,Raw_SHAP_Non-Water,Is_Selected,Rank
24,0.01348366679757457,0.023363343008953704,0.019362469264941215,0.00656489841322065,-9.955725380461632e-05,8.143782012716255e-05,3.799083349154257e-05,1,68
11,0.013037989545679925,0.0019070702256281577,0.0019140396829027027,0.025333615126357335,-5.087887103120562e-06,-3.309255146625961e-05,0.000167499726803272,1,69
68,0.012276611496385256,0.039833446817886635,0.011941105249901125,0.009711398235342927,7.136946450955823e-05,6.601503322572686e-07,2.7039144073163613e-05,1,70
9,0.011990105368735621,0.0011926196395164177,0.0013292900469255076,0.023787498135726705,-4.164898998791507e-05,6.41573568790222e-06,9.670301452022401e-05,1,71
66,0.011523148001591859,0.002553376158922502,0.014084483491123454,0.009905999021814934,-0.00015499052360132813,4.171453994743547e-06,-3.257040193413897e-05,1,72
22,0.011488530094385548,0.01680581264931075,0.011599243998780233,0.010818102236840843,-6.090837761824966e-05,3.409992219681005e-05,-5.1680506559048146e-05,1,73
8,0.011481899783364656,0.0015891016089524482,0.002049630765330871,0.02195551597765236,-1.1220234095554154e-05,-2.4992178827607315e-05,0.00013972915181285642,1,74
71,0.011201379348372023,0.04061823013840466,0.0021416162058501545,0.017164631881416773,-3.255297274078861e-05,-3.5788013645266236e-05,0.00019676346996333648,1,75
10,0.010761026718087008,0.0008848081158447718,0.0070506025829963,0.01551105281130848,1.685623797020834e-06,-2.927179249908323e-05,5.1761131581667675e-05,1,76
64,0.010329552254253856,0.030436112381359334,0.005907169152434904,0.012635455342693286,5.099151707514503e-05,-2.5336511969315117e-05,-4.7076677889789e-05,1,77
96,0.010204492711831232,0.021650547521155104,0.006704395340244049,0.012499742208752744,1.2401062927798293e-06,-0.00018627333522029912,0.00025917237244208716,0,78
16,0.010088562193152807,0.003588769572572181,0.006573546254458702,0.014287766828750138,1.2602215677522615e-05,3.126363882979564e-05,-8.449165222107598e-05,0,79
7,0.009556664504182088,0.014447363158432187,0.005884961871764246,0.012713556751942023,0.000101701985860589,6.469024219796952e-05,0.000104099296810829,0,80
45,0.009265766698797277,0.04632988949232132,0.003189274283583321,0.011440772504166596,-0.00014937262886465327,-1.550656849704466e-06,-2.910630403914316e-05,0,81
2,0.0091856241886626,0.002722315660566936,0.006192415177761898,0.012859181465678637,2.398484304404558e-06,-8.626393306692113e-05,0.00010848970912009474,0,82
61,0.008567791667100796,0.003611887489884704,0.012403248397583878,0.005254009060535199,-1.2122337967494072e-05,4.7371313150415894e-05,1.1259210961411726e-05,0,83
67,0.008556340519226022,0.0455685053599064,0.005637419091395796,0.007579244595405685,-8.213746968192031e-05,4.436691878289049e-05,1.9570034967615657e-05,0,84
12,0.008506530885291554,0.0019340483213307297,0.0022101905223585717,0.015494711518115148,-3.8581183077129434e-05,-1.021288647768176e-06,0.00010828402493042819,0,85
6,0.00790831827880303,0.0012994577752501488,0.0017607665796735813,0.014751539504622258,1.8789578581811316e-05,4.754997656787299e-06,4.0869282412587325e-05,0,86
101,0.007648401824492963,0.003521340345754794,0.00898301501123411,0.006748216161829518,5.341972421692523e-06,1.1504060095124883e-05,4.559745385249574e-06,0,87
38,0.007349173378807876,0.01957544035041194,0.004006415466417635,0.009404955820502953,-5.047388416654759e-05,1.1385726164079412e-05,9.832514523987627e-06,0,88
26,0.007240246305198587,0.012261932405171982,0.01123617446139205,0.00271571961216582,-7.157866785747241e-05,4.8194778326654686e-05,2.0482871436113104e-05,0,89
46,0.007127950032868554,0.01784279240935409,0.008016834992709216,0.005111186928134679,-7.767548734554396e-05,2.1828016142379048e-05,1.683837046578868e-05,0,90
15,0.007038993513629864,0.005307655246296261,0.0010578999351634707,0.013202333225499794,-5.190788678548006e-05,1.6835548516113305e-05,4.973771064890912e-05,0,91
14,0.00654671313202841,0.017565645181278518,0.0019121336904459922,0.010021404989479238,-7.126360741453986e-05,-2.240832880138961e-06,5.4906706376354374e-05,0,92
100,0.006256219168496071,0.0015042683248681285,0.011542447251010042,0.0014701964379429371,5.44340875918098e-05,-1.1279573403343919e-05,1.738341687902847e-05,0,93
69,0.005958968637364023,0.006044670226191723,0.00905100514117063,0.0028579109136808154,-7.196927891734815e-05,1.8398576628570612e-05,3.210964187772854e-05,0,94
1,0.005353445672044112,0.0009751383306495771,0.001260400732489354,0.009907365068587769,5.325006701544881e-06,-3.2100402237301637e-06,8.586168887410602e-05,0,95
34,0.0051759196441577,0.009297229399283605,0.007898789651115165,0.002019227557713297,-2.930466580557717e-06,2.0220641850560724e-05,3.006155352567202e-06,0,96
18,0.005103240082698154,0.013626179746539426,0.0016194774857245533,0.007689851136109515,-9.794192216742923e-05,2.209969431062691e-06,3.304879135346489e-05,0,97
17,0.004875965208517057,0.0035928268670271505,0.0072050108111973606,0.002681986799677797,-6.733649356089907e-05,3.866338696299539e-06,-2.317636877930667e-05,0,98
54,0.0038069907793591012,0.020735980591099174,0.0032971281575107604,0.0025348544736558554,-5.89888436419584e-05,7.99273520685008e-05,-7.985278341810486e-05,0,99
30,0.0034151469961168322,0.007741340258191842,0.0017672798525915439,0.004607625375213172,5.518827163157222e-06,-9.44801568118672e-06,1.2419743361707365e-05,0,100
42,0.003399253415953059,0.014637390133418828,0.002072416906816727,0.0035431281653561532,-4.668591810407417e-05,2.0060581422290412e-06,-1.0780246203936377e-05,0,101
0,0.0013710973832613829,0.00039304346933738627,0.000691503456320955,0.0021536443537727577,7.56488595913747e-06,-1.4130560788852672e-06,-2.598210639241516e-05,0,102
